point,width,curvature,angle,x,y,apps,brake,steering_position
705,5,-0.00018352810518111,6.52618491780421,94.0293810477598,153.63775330866,17.5882099925693,-0,-0.00245140005554046
710,5,9.03763915539239e-05,6.52595203852014,89.1455264939972,152.566327470539,16.7122847894544,-0,0.10743753415344
715,5,0.000443715618126344,6.52728726854434,84.2645610835571,151.481817966417,16.1544646438598,-0,0.248050255041431
720,5,0.000703599315910685,6.53015555587944,79.3864613298197,150.38448966774,9.79052445965327,-0,0.355362053335352
725,5,0.000892130675209659,6.53414488085724,74.5112496670225,149.274401742023,9.19693451618366,-0,0.420165505643205
730,5,0.00101370149871789,6.53890946129206,69.6391315161312,148.150812486611,8.69491326582397,-0,0.463477545473809
735,5,0.000222060797631764,6.54199886703293,64.7678064762182,147.023785040647,8.43750785102023,-0,0.219481511973781
740,5,-0.00386412100571232,6.53289371651273,59.8929543869989,145.91213741917,7.65014046342432,-0,-1.18223678305312
745,5,-0.0136313693574202,6.4891549906049,55.0094991017499,144.839203282952,4.09709231302235,-0,-4.44147630236992
750,5,-0.0267363783327672,6.38823562137943,50.0908679163203,143.94317957603,0.713467125610517,-0,-9.95346664311106
755,5,-0.0374147215570205,6.22785787165496,45.1154164235865,143.516707749746,0.0360128813677085,-0,-16.9693839749068
760,5,-0.0441334682797422,6.02398739706305,40.1636374665776,144.127447144809,0.0362742555616972,-0,-18.3853580210142
765,5,-0.0512254755327945,5.78559003753171,35.6704780854068,146.251725653851,0.0953413753787388,-0,-26.6193116727401
770,5,-0.0575379557858016,5.51368145923522,31.9436894346378,149.567269639527,0.0314061581641419,-0,-26.3106253343178
775,5,-0.0596591590662612,5.22068867210507,28.843717989356,153.484793483265,0,0.0111875361739033,-19.0615647988816
780,5,-0.0603104220400604,4.92076471933926,26.6850043077799,157.975227825077,0.0347907921293761,-0,-19.1809252371035
785,5,-0.0635280207177884,4.61116861244464,26.6271537750964,162.917468841436,0.0234853633160309,-0,-19.945681976681
790,5,-0.0645535288338249,4.29096473856561,28.3561837269532,167.592554089971,0,0.0247692713750218,-20.4610794562211
795,5,-0.0572975850135594,3.98633695394715,31.125427269023,171.730726553433,0,0.0143619669484269,-19.8017231564525
800,5,-0.0448603164191848,3.73094220036529,34.8737324185998,175.021561136441,0.0727979402095819,-0,-26.4934429590977
805,5,-0.0338416702085973,3.53418723379583,39.446129066816,177.000411772566,0.0298595508518169,-0,-14.0810799844073
810,5,-0.0231967427211002,3.39159120147159,44.3287219702557,178.07084857714,0.0818434170002314,-0,-9.29446166750795
815,5,-0.0116949914568713,3.30436186602666,49.2576485497802,178.900998927908,0.269182116899434,-0,-4.57793810735594
820,5,-0.00311572525092223,3.26733507425717,54.2302448278577,179.423444304587,17.9735631682255,-0,-1.1832862084784
825,5,-0.000230094954743302,3.25897052374301,59.2037411528886,179.937577565267,45.1989751883187,-0,0.203119979584658
830,5,-0.000159844415896532,3.25799567531641,64.1768079737855,180.4558482387,48.8344865151263,-0,0.109034672150277
835,5,-0.000293258965926874,3.25686291686185,69.1495764467925,180.976972286003,50.4286285731391,-0,-0.0264850116223293
840,5,-0.000633785367118854,3.25454530602924,74.1261244768132,181.460241777326,50.7797172754305,-0,-0.0717157664183068
845,5,-0.000778921952734415,3.2510135377296,79.1078428361632,181.88734437014,50.2278166348283,-0,-0.201809830261585
850,5,-0.000444751072703558,3.24795435516601,84.0902250383727,182.306709904701,49.2403995970353,-0,-0.0874609953337575
855,5,-2.13656837178264e-05,3.24678906327496,89.0724872369774,182.727498399182,47.9454237969491,-0,0.13827043974622
860,5,0.000211143102453498,3.24726350682179,94.0544879496714,183.151370719428,46.2206323898665,-0,0.213545114728783
865,5,0.000199857833801619,3.24829100916243,99.0361802190312,183.578853100816,44.4982626026783,-0,0.191691370732309
870,5,0.000149069619846376,3.24916332779655,104.017577710955,184.009756709412,42.7466470117016,-0,0.154829433253495
875,5,0.000140524671084027,3.24988731352388,108.99867880919,184.444073414834,40.8070030544918,-0,0.147033990149521
880,5,0.000144089189023152,3.25059884817415,113.979478717247,184.881830445011,20.7079999305659,-0,0.144717189095086
885,5,0.000154973280638819,3.2513465043483,118.9599757124,185.323020490953,18.5762698254419,-0,0.138869046618954
890,5,0.000170745266797085,3.25216080071689,123.940141245636,185.76793610011,16.4418890620266,-0,0.139816600139488
895,5,0.00018786061439098,3.25305731541986,128.919928159459,186.217069365282,9.60922297084547,-0,0.140642242337515
900,5,0.000202752700104746,3.2540338487061,133.899282189021,186.670976026017,7.66827847360633,-0,0.139783639367047
905,5,0.000216808340129043,3.25508275130669,138.878166248086,187.130008925183,5.90959512313815,-0,0.140411756401681
910,5,0.000259776632195792,3.2562742137375,143.856528474905,187.594666713253,3.04978244066179,-0,0.150546600305037
915,5,0.000332182843546526,3.25775411242685,148.834375843853,188.064808183575,1.3823011167787,-0,0.176084340446329
920,5,0.000424338170558568,3.25964541496212,153.811674213931,188.540726326322,0.168222192472049,-0,0.207564164583018
925,5,0.000628261727657696,3.26227691470766,158.788388587173,189.02271229938,0.0247503450393342,-0,0.270555628440639
930,5,0.000357679655860633,3.26474176816645,163.76439740243,189.511926938796,0.026558203940031,-0,0.221172773925119
935,5,-0.00184879480761872,3.26101398028706,168.739914029582,190.00612487001,0.0245196051039217,-0,-0.563209978156763
940,5,-0.00601342799443738,3.24135842328192,173.717882669627,190.47481164773,0.0260510606986539,-0,-2.44006715775229
945,5,-0.0101834166980366,3.20086631155073,178.700564562405,190.89013966929,0.0262474758412008,-0,-4.04601458916987
950,5,-0.0134664669088746,3.14174160253345,183.694043197397,191.121822439098,0.0238886895654542,-0,-5.73683711971914
955,5,-0.0164241441481059,3.067015074891,188.683078287678,190.838192453046,0.0287684815785852,-0,-6.59910509071482
960,5,-0.0189351345313248,2.97861687819243,193.609721892368,189.995492606323,0.031773127839817,-0,-7.43736986173749
965,5,-0.021035768801545,2.87868961986025,198.473174365223,188.837590861552,0.03069863170121,-0,-8.03226274762718
970,5,-0.0234877200438102,2.76738089774686,203.234511423768,187.320464095976,0.0292433001863305,-0,-9.12525311225089
975,5,-0.0264111086922784,2.64263382590664,207.748611509911,185.179484570374,0.0312501388315791,-0,-9.89921904611501
980,5,-0.0287432073267285,2.50474803585912,211.939445211172,182.459251971176,0.0296721868937342,-0,-10.323674264857
985,5,-0.0285444867174972,2.36152880074856,215.668365197304,179.136808720168,0.0285890313331898,-0,-9.64963373606031
990,5,-0.025372990275069,2.22673510826715,218.799827440415,175.245686493269,0.0340952198844421,-0,-8.06927495199731
995,5,-0.0204510531126856,2.11217499979776,221.488294132498,171.03151909259,0.485543630974753,-0,-7.3501502780039
1000,5,-0.0146536529809928,2.02441323456356,223.701508343226,166.551795550014,6.91126438361963,-0,-5.25040027773241
1005,5,-0.00913921458653568,1.96493106564474,225.539512657952,161.902232955519,17.2319083619374,-0,-3.46493169639355
1010,5,-0.00473618749956153,1.9302425604295,227.224395187837,157.194868033781,21.6137525519132,-0,-1.79800346904263
1015,5,-0.00144890410516664,1.91477983141768,228.816481377999,152.455135517035,44.3798373816741,-0,-0.514738984580891
1020,5,0.000301381479544301,1.91191102485362,230.389317972967,147.708959825749,46.1471494588016,-0,0.267089090315142
1025,5,0.000936663926773717,1.91500613836942,231.979579622525,142.968612752465,46.8546900178213,-0,0.514587471252444
1030,5,0.00141120500415569,1.92087581069674,233.603261171049,138.23959367683,46.7700586246098,-0,0.650536818318842
1035,5,0.00177954250944083,1.92885267948073,235.245362774974,133.516939173007,46.2711422370815,-0,0.836584553862252
1040,5,0.00254393731307782,1.93966137903703,236.909595208024,128.802043278369,45.366682307478,-0,1.11447219660571
1045,5,0.00560064504405072,1.96002283492985,238.654058265956,124.116375239621,43.7284362320425,-0,2.26330543566985
1050,5,0.0110241866878717,2.00158491425966,240.528647395361,119.481299390273,41.3589372421176,-0,4.70377780339888
1055,5,0.0160097055989916,2.06916964497681,242.548593267888,114.907718741465,19.5715694972079,-0,6.65393055235117
1060,5,0.0191946343586919,2.15718049487102,244.839071655916,110.465804557269,16.6331324711843,-0,7.88631211508974
1065,5,0.0208280614299428,2.25723723434261,247.686297851681,106.361502847816,8.71385752638573,-0,8.77697123208475
1070,5,0.0208927503538907,2.36153926380219,251.161708537234,102.771239033699,6.04024614428637,-0,8.39805726646705
1075,5,0.019390110417551,2.4622464157308,254.84138076753,99.3874970396144,2.47868002288844,-0,7.32079940139273
1080,5,0.0172479106274687,2.55384146834335,258.785223412818,96.3164606786632,0.265764198595448,-0,6.12650889877521
1085,5,0.0160875467089718,2.63718011168445,262.978388663933,93.5960455508145,0.0286626476136537,-0,5.68826856151555
1090,5,0.0157839408272704,2.71685883052505,267.399005740088,91.2633788659433,0.0287928235418178,-0,5.66661794118669
1095,5,0.0151621533376148,2.79422406593727,272.012653463872,89.340604934396,0.0290472221792227,-0,5.50741128168028
1100,5,0.0146427980198733,2.86873644433099,276.755039877543,87.7586380615232,0.0292136293707627,-0,5.29372393312203
1105,5,0.0144224431831664,2.94139954733859,281.588225782016,86.4806124472695,0.029267168676944,-0,5.32794706697777
1110,5,0.0133948760925295,3.01094284552783,286.47827687464,85.4430023186266,0.0302184748720408,-0,5.13227145283944
1115,5,0.0109954542949668,3.07191867149657,291.441567245691,84.8521643616222,0.0292496767849732,-0,4.28651106629853
1120,5,0.0075933366772068,3.118390648927,296.434577558424,84.6019903852805,0.0988773445107186,-0,3.00875397751414
